profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year,first,elevation_m,slope,elevationRelMHW,twi,dist_to_channel_m,tidal_flat_prob,coastal_dist_m,VV_mean,VH_mean,VVVH_ratio,B,G,R,B5,B6,B7,NIR,SWIR1,SWIR2,NDVI_median,LSWI_median,mNDWI_median,NDVI_stdDev,SAVI_median,tidal_wetness,MAT_C,MAP_mm
1026,Janousek,38.00715,-122.48381,100.0,8,42.015,0.6375,7.6625,,,0.05272743381037513,5,3.6398985385894775,4.5,2.754925458466587,174.92855834960938,0,201.24612426757812,-10.443553797234111,-15.67194855722376,5.228394759989648,,,,,,,,,,,,,,,,15.270289855072463,918.5217391304348
1027,Janousek,59.77316,-151.86098,61.0,8,16.23375,0.99625,4.04375,,,0.24078587284889222,2,0.0,1.5,6.907755278982137,268.3281555175781,0,483.7354736328125,-11.789076694406441,-18.74333474943967,6.954258055033227,,,,,,,,,,,,,,,,4.495652173913044,713.9130434782609
1028,Janousek,59.77322,-151.86127,50.0,7,16.60075,0.8342857142857143,5.042857142857143,,,0.23684761216608247,2,0.0,1.5,6.907755278982137,256.3200988769531,0,480.93658447265625,-11.796718530328976,-18.803576889893254,7.006858359564278,,,,,,,,,,,,,,,,4.495652173913044,713.9130434782609
1029,Janousek,59.7733,-151.86189,101.0,10,42.432,0.826,5.445,,,0.2388927968094075,2,2.0617716312408447,1.5,3.324230418647092,241.86773681640625,0,480.0,-12.207270869806012,-18.99435746166142,6.787086591855408,,,,,,,,,,,,,,,,4.495652173913044,713.9130434782609
103,Janousek,48.5478,-122.5098,100.0,4,7.395999999999999,1.39,0.475,,,0.21463708280907093,0,0.0,-0.5,6.907755278982137,0.0,1,0.0,-20.925288594015743,-28.449254378947515,7.523965784931772,,,,,,,,,,,,,,,,10.605072463768115,823.6521739130435
1030,Janousek,59.77335,-151.86243,50.0,7,19.17425,0.5700000000000001,7.042857142857143,,,0.25390650729902914,3,0.9274099469184875,2.5,4.123500053280157,240.0,0,483.7354736328125,-12.298175850913188,-19.05812335441167,6.759947503498482,,,,,,,,,,,,,,,,4.495652173913044,713.9130434782609
1031,Janousek,59.77356,-151.86311,57.0,7,19.8412,0.9257142857142856,4.764285714285714,,,0.25295607339208187,2,2.0617852210998535,1.5,3.324223821625002,218.40328979492188,0,457.93011474609375,-12.294376000556431,-18.677056571022337,6.382680570465906,,,,,,,,,,,,,,,,4.495652173913044,713.9130434782609
1032,Janousek,59.77411,-151.86417,57.0,8,24.1401,0.795,5.05625,,,0.2675083114748988,3,0.9274099469184875,2.5,4.123500053280157,234.3074951171875,0,324.4996032714844,-11.168235604204463,-18.182737348192482,7.014501743988019,,,,,,,,,,,,,,,,4.495652173913044,713.9130434782609
1033,Janousek,59.77425,-151.86536,50.0,7,23.12825,0.6128571428571429,7.45,,,0.2103436987590504,2,0.0,1.5,6.907755278982137,150.0,0,192.09373474121094,-12.942143784721393,-20.48743207223873,7.5452882875173355,,,,,,,,,,,,,,,,4.495652173913044,713.9130434782609
1034,Janousek,59.64005,-151.53116,100.0,10,46.9977,1.24,3.435,,,0.18463974702175612,3,0.0,2.5,6.907755278982137,218.40328979492188,0,247.38633728027344,-13.92611568011114,-23.984507442657865,10.058391762546725,,,,,,,,,,,,,,,,4.036413043478261,715.7391304347826
