profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year
33,Janousek,48.549,-122.523,50,22,4.90155,1.4354545454545455,0.7056818181818182,NA,NA
330,Janousek,44.42208,-124.03351,51,25,27.07095,0.6156,9.175,NA,NA
331,Janousek,44.42008,-124.01397,50,25,25.1417,0.5688,10.153,NA,NA
332,Janousek,44.42109,-124.01403,50,25,20.9908,0.4972,9.262,NA,NA
333,Janousek,44.42109,-124.0142,50,25,16.6313,0.6716,5.172,NA,NA
334,Janousek,44.43028,-124.02927,50,25,36.0901,0.5416,14.428,NA,NA
335,Janousek,44.4311,-124.02858,50,25,28.2656,0.3912,14.598,NA,NA
336,Janousek,44.43101,-124.02783,50,25,27.0716,0.564,10.37,NA,NA
337,Janousek,44.43214,-124.02782,50,25,23.799500000000002,0.4092,11.798,NA,NA
338,Janousek,45.69017,-123.89616,50,25,19.92285,0.7788,5.297,NA,NA
339,Janousek,45.6904,-123.89472,50,25,16.5232,0.8372,4.029,NA,NA
34,Janousek,48.549,-122.529,50,19,4.43875,1.4563157894736842,0.6236842105263157,NA,NA
340,Janousek,45.68991,-123.88976,50,25,25.212,0.4656,11.903,NA,NA
341,Janousek,45.69814,-123.88978,50,25,22.844,0.5164,10.614,NA,NA
342,Janousek,45.69754,-123.89879,50,25,14.971400000000001,0.65,5.264,NA,NA
343,Janousek,45.70291,-123.90456,50,25,15.8632,1.0948,2.936,NA,NA
344,Janousek,45.70421,-123.90199,50,25,13.7757,0.8072,4.02,NA,NA
345,Janousek,45.70323,-123.89372,50,25,25.39995,0.39,13.167,NA,NA
346,Janousek,45.7033,-123.8956,50,25,25.6913,0.4124,12.694,NA,NA
347,Janousek,45.7022,-123.8983,50,25,21.4104,0.48560000000000003,9.058,NA,NA
348,Janousek,45.7011,-123.8936,50,25,24.8309,0.4848,10.42,NA,NA
349,Janousek,45.7036,-123.9,50,25,20.985500000000002,0.4652,9.334,NA,NA
35,Janousek,48.55,-122.536,50,20,3.8979,1.3745,0.57625,NA,NA
350,Janousek,43.1454,-124.39635,50,25,17.7979,0.6324,6.088,NA,NA
351,Janousek,43.14415,-124.39651,50,25,23.5593,0.5372,13.074,NA,NA
352,Janousek,43.14116,-124.40071,50,25,18.1636,0.7276,8.38,NA,NA
353,Janousek,43.14249,-124.40153,50,25,14.2873,0.8724,5.936,NA,NA
354,Janousek,43.1394,-124.40437,50,25,12.0595,0.954,2.932,NA,NA
355,Janousek,43.13893,-124.40505,50,25,9.2941,1.2968,1.482,NA,NA
356,Janousek,43.13502,-124.40286,50,25,8.7005,1.2,1.47,NA,NA
357,Janousek,43.13018,-124.40729,50,25,20.402,0.7404,6.612,NA,NA
358,Janousek,43.13409,-124.40674,50,25,8.3699,1.2184,1.846,NA,NA
359,Janousek,43.13622,-124.40226,50,25,13.1576,1.0568,3.956,NA,NA
36,Janousek,48.55,-122.544,50,22,4.0404,1.470909090909091,0.5511363636363636,NA,NA
360,Janousek,45.025,-123.96999,50,25,30.9073,0.532,12.224,NA,NA
361,Janousek,45.02601,-123.9719,50,25,29.5868,0.414,14.834,NA,NA
362,Janousek,45.0264,-123.97581,50,24,33.533750000000005,0.5116666666666667,12.80625,NA,NA
363,Janousek,45.02388,-123.97306,50,25,26.90225,0.488,11.645,NA,NA
364,Janousek,45.029,-123.9788,50,25,25.4604,0.5,10.524,NA,NA
365,Janousek,45.02859,-123.97857,50,25,33.061,0.3456,19.798,NA,NA
366,Janousek,45.02684,-123.97819,50,25,36.4779,0.3448,21.576,NA,NA
367,Janousek,45.02504,-123.97515,50,25,33.7087,0.3324,20.812,NA,NA
